
ie=	0
cntD1=	0
cntD2=	0
cntD3=	22035
cntQ1=	17212
cntQ2=	7230
cntQU=	0

ie=	1
cntD1=	0
cntD2=	0
cntD3=	23884
cntQ1=	19778
cntQ2=	3798
cntQU=	0

ie=	2
cntD1=	0
cntD2=	0
cntD3=	26156
cntQ1=	21581
cntQ2=	355
cntQU=	0

ie=	3
cntD1=	0
cntD2=	0
cntD3=	29052
cntQ1=	20209
cntQ2=	0
cntQU=	0

ie=	4
cntD1=	0
cntD2=	0
cntD3=	32390
cntQ1=	17804
cntQ2=	0
cntQU=	0

ie=	5
cntD1=	0
cntD2=	0
cntD3=	35983
cntQ1=	15010
cntQ2=	0
cntQU=	0

ie=	6
cntD1=	8
cntD2=	0
cntD3=	40433
cntQ1=	11421
cntQ2=	0
cntQU=	0

ie=	7
cntD1=	86
cntD2=	0
cntD3=	45914
cntQ1=	6665
cntQ2=	0
cntQU=	0

ie=	8
cntD1=	566
cntD2=	0
cntD3=	52048
cntQ1=	1417
cntQ2=	0
cntQU=	0

ie=	9
cntD1=	2056
cntD2=	4
cntD3=	53829
cntQ1=	8
cntQ2=	0
cntQU=	0

ie=	10
cntD1=	5874
cntD2=	30
cntD3=	54473
cntQ1=	0
cntQ2=	0
cntQU=	0

ie=	11
cntD1=	8200
cntD2=	157
cntD3=	55302
cntQ1=	0
cntQ2=	0
cntQU=	0

ie=	12
cntD1=	8107
cntD2=	568
cntD3=	56816
cntQ1=	0
cntQ2=	0
cntQU=	0

ie=	13
cntD1=	8060
cntD2=	1739
cntD3=	58494
cntQ1=	0
cntQ2=	0
cntQU=	0

ie=	14
cntD1=	7191
cntD2=	4970
cntD3=	60659
cntQ1=	0
cntQ2=	0
cntQU=	0

ie=	15
cntD1=	4432
cntD2=	10246
cntD3=	64219
cntQ1=	0
cntQ2=	0
cntQU=	0

ie=	16
cntD1=	567
cntD2=	14400
cntD3=	70255
cntQ1=	0
cntQ2=	0
cntQU=	0

ie=	17
cntD1=	0
cntD2=	11201
cntD3=	78709
cntQ1=	0
cntQ2=	0
cntQU=	0

ie=	18
cntD1=	0
cntD2=	6219
cntD3=	88305
cntQ1=	0
cntQ2=	0
cntQU=	0

ie=	19
cntD1=	0
cntD2=	4410
cntD3=	91817
cntQ1=	0
cntQ2=	0
cntQU=	0

ie=	20
cntD1=	0
cntD2=	2215
cntD3=	95806
cntQ1=	0
cntQ2=	0
cntQU=	0

ie=	21
cntD1=	0
cntD2=	1185
cntD3=	97700
cntQ1=	0
cntQ2=	0
cntQU=	0

ie=	22
cntD1=	0
cntD2=	418
cntD3=	99202
cntQ1=	0
cntQ2=	0
cntQU=	0
