ie=	0	cntD1=	0	cntD2=	0	cntD3=	219603
ie=	1	cntD1=	0	cntD2=	0	cntD3=	239979
ie=	2	cntD1=	0	cntD2=	0	cntD3=	262621
ie=	3	cntD1=	0	cntD2=	0	cntD3=	289352
ie=	4	cntD1=	0	cntD2=	0	cntD3=	321308
ie=	5	cntD1=	1	cntD2=	0	cntD3=	358213
ie=	6	cntD1=	72	cntD2=	0	cntD3=	404519
ie=	7	cntD1=	892	cntD2=	0	cntD3=	458536
ie=	8	cntD1=	5786	cntD2=	0	cntD3=	519556
ie=	9	cntD1=	22065	cntD2=	45	cntD3=	538457
ie=	10	cntD1=	58466	cntD2=	299	cntD3=	544580
ie=	11	cntD1=	82237	cntD2=	1504	cntD3=	553651
ie=	12	cntD1=	82017	cntD2=	5609	cntD3=	565904
ie=	13	cntD1=	80885	cntD2=	17918	cntD3=	582492
ie=	14	cntD1=	72454	cntD2=	49039	cntD3=	606009
ie=	15	cntD1=	43765	cntD2=	102812	cntD3=	643686
ie=	16	cntD1=	5832	cntD2=	141344	cntD3=	702924
ie=	17	cntD1=	0	cntD2=	111194	cntD3=	788131
ie=	18	cntD1=	0	cntD2=	61757	cntD3=	884715
ie=	19	cntD1=	0	cntD2=	43564	cntD3=	917556
ie=	20	cntD1=	0	cntD2=	21729	cntD3=	958335
ie=	21	cntD1=	0	cntD2=	11875	cntD3=	977488
ie=	22	cntD1=	0	cntD2=	4290	cntD3=	992047
