ie=	0	cntD1=	0	cntD2=	28687	cntD3=	4532
ie=	1	cntD1=	0	cntD2=	31543	cntD3=	9390
ie=	2	cntD1=	5	cntD2=	34652	cntD3=	16791
ie=	3	cntD1=	60	cntD2=	38347	cntD3=	29052
ie=	4	cntD1=	376	cntD2=	42410	cntD3=	46226
ie=	5	cntD1=	1639	cntD2=	47182	cntD3=	70918
ie=	6	cntD1=	5220	cntD2=	53010	cntD3=	106074
ie=	7	cntD1=	13243	cntD2=	60592	cntD3=	154690
ie=	8	cntD1=	27916	cntD2=	69227	cntD3=	180001
ie=	9	cntD1=	54017	cntD2=	80158	cntD3=	179986
ie=	10	cntD1=	96048	cntD2=	93572	cntD3=	180647
ie=	11	cntD1=	161830	cntD2=	112586	cntD3=	179862
ie=	12	cntD1=	180041	cntD2=	136811	cntD3=	179856
ie=	13	cntD1=	180747	cntD2=	170573	cntD3=	180829
ie=	14	cntD1=	179627	cntD2=	220567	cntD3=	180781
ie=	15	cntD1=	170631	cntD2=	298192	cntD3=	180236
ie=	16	cntD1=	129226	cntD2=	426591	cntD3=	177307
ie=	17	cntD1=	39540	cntD2=	614778	cntD3=	161211
ie=	18	cntD1=	7968	cntD2=	759936	cntD3=	119162
ie=	19	cntD1=	3690	cntD2=	816098	cntD3=	94995
ie=	20	cntD1=	694	cntD2=	898132	cntD3=	54770
ie=	21	cntD1=	20	cntD2=	944448	cntD3=	30509
ie=	22	cntD1=	0	cntD2=	980599	cntD3=	10757
